Team 1, Team 2, Winning Team, Winning Score, Losing Score, Map Played
Selfless,Liquid,Liquid,11,16,cache
Liquid,Selfless,Selfless,9,16,train
Splyce,Cloud9,Cloud9,5,16,overpass
Cloud9,Splyce,Cloud9,16,7,cobblestone
OpTic,CLG,OpTic,16,7,overpass
CLG,OpTic,OpTic,7,16,train
Luminosity,Renegades,Luminosity,16,13,inferno
Innova,CNB,Innova,16,12,cache
g3x,Innova,Innova,12,16,cobblestone
Renegades,Luminosity,Luminosity,3,16,train
CNB,g3x,g3x,3,16,overpass
KKona,Liquid,Liquid,1,16,cobblestone
2 Kill,INTZ,2 Kill,16,12,cache
Liquid,KKona,Liquid,16,1,dust2
INTZ,Keyd,Keyd,4,16,cache
ENCE,CPH,ENCE,21,18,dust2
2 Kill,Keyd,Keyd,6,16,mirage
Deathtrap,XPC,XPC,6,16,cache
n0_0rg,ENCE,ENCE,19,21,cache
nerdRage,CPH,CPH,0,16,dust2
n0_0rg,Red,n0_0rg,16,11,cache
Metapods,nerdRage,nerdRage,13,16,overpass
ENCE,deadweight,ENCE,16,8,dust2
CPH Wolves,Escape,CPH Wolves,16,10,inferno
Red Instinct,Alpha,Red Instinct,16,10,cobblestone
un-named,n0_0rg,n0_0rg,8,16,cache
ALTERNATE aTTaX,ENCE,ENCE,9,16,cache
stfuNerd,Metapods,Metapods,11,16,cache
Magistra,CPH,CPH,8,16,dust2
PANTERS,deadweight,deadweight,12,16,mirage
GameAgents,nerdRage,nerdRage,5,16,cobblestone
WiC,Escape,Escape,1,16,mirage
KoN Denmark,KoN,KoN,15,21,dust2
Deathtrap,GameAgents,GameAgents,12,16,cobblestone
iNation,Bpro,Bpro,13,16,cache
KoN Denmark,KoN,KoN Denmark,16,11,cache
KoN Sweden,KoN,KoN,14,16,inferno
CS-GO.rs,Pixel,CS-GO.rs,16,14,cobblestone
KKona,Winterfox,Winterfox,6,16,cache
Winterfox,KKona,Winterfox,16,7,inferno
CLG,Splyce,Splyce,13,16,train
Splyce,CLG,Splyce,16,8,cobblestone
Virtus.pro,mousesports,Virtus.pro,19,15,train
dignitas,FaZe,FaZe,7,16,inferno
mousesports,Virtus.pro,mousesports,16,5,cache
FaZe,dignitas,dignitas,9,16,mirage
EnVyUs,NiP,NiP,3,16,train
FlipSid3,FaZe,FaZe,2,16,cobblestone
NiP,EnVyUs,NiP,16,10,cache
CS-GO.rs,SuperMassive,SuperMassive,11,16,cobblestone
FaZe,FlipSid3,FaZe,16,8,inferno
MVP.karnal,Signature,Signature,13,16,mirage
MVP.karnal,LGD,MVP.karnal,16,6,cache
Signature,nxl,nxl,10,16,dust2
Signature,MVP.karnal,Signature,16,8,inferno
nxl,LGD,nxl,16,9,mirage
CLG,KKona,CLG,16,10,dust2
KKona,CLG,CLG,6,16,overpass
NRG,Splyce,NRG,16,10,train
Splyce,NRG,Splyce,16,11,overpass
fnatic,FaZe,FaZe,10,16,inferno
FaZe,fnatic,FaZe,16,6,train
Natus Vincere,G2,G2,3,16,overpass
dignitas,FlipSid3,dignitas,16,7,cobblestone
G2,Natus,Natus,16,19,train
RB,SuperMassive,RB,19,16,mirage
FlipSid3,dignitas,FlipSid3,16,3,overpass
FlipSid3,Natus,FlipSid3,16,8,cobblestone
EDG,inchk1ng,inchk1ng,14,16,overpass
Natus Vincere,FlipSid3,Natus Vincere,16,12,train
EDG,MOTV,EDG,16,9,cache
TheMongolz,inchk1ng,TheMongolz,16,10,cache
EDG,TheMongolz,TheMongolz,14,16,dust2
MOTV,inchk1ng,inchk1ng,12,16,dust2
Astralis,FaZe,Astralis,16,9,inferno
FaZe,Astralis,Astralis,12,16,dust2
Natus Vincere,fnatic,Natus Vincere,16,13,cobblestone
fnatic,Natus,fnatic,16,11,overpass
EnVyUs,mousesports,mousesports,8,16,cache
CS-GO.rs,aimclub,aimclub,7,16,cache
mousesports,EnVyUs,mousesports,22,19,inferno
neXtPlease!,Bpro,Bpro,8,16,cache
neXtPlease!,RB,RB,7,16,cache
KoN Norway,KoN,KoN,4,16,mirage
KoN Denmark,KoN,KoN,3,16,dust2
KoN Sweden,KoN,KoN,20,21,cache
Tempo Storm,Virtus.pro,Virtus.pro,9,16,mirage
iNation,RB,RB,6,16,cache
dignitas,Astralis,dignitas,16,9,cache
CLG,Natus,Natus,15,19,dust2
mousesports,Luminosity,mousesports,16,7,cache
EnVyUs,FaZe,EnVyUs,16,12,cache
NiP,CSGL,NiP,16,8,cache
G2,GODSENT,GODSENT,8,16,train
TyLoo,Liquid,TyLoo,22,19,cobblestone
Tempo Storm,EnVyUs,Tempo Storm,16,14,cobblestone
FaZe,Virtus.pro,Virtus.pro,8,16,train
dignitas,NiP,dignitas,16,2,overpass
CSGL,Astralis,Astralis,9,16,mirage
CLG,G2,CLG,16,2,dust2
GODSENT,Natus,Natus,11,16,train
mousesports,Liquid,mousesports,16,13,dust2
TyLoo,Luminosity,Luminosity,7,16,mirage
Pixel,Deathtrap,Deathtrap,16,19,dust2
GameAgents,Bpro,GameAgents,16,13,mirage
HLO.Gävle,SK.2003,SK.2003,12,16,inferno
HLO.Gävle,team9,HLO.Gävle,16,13,inferno
Divine,SK.2003,SK.2003,15,19,dust2
BOTIDA DE COCO,Botka,Botka,19,22,cobblestone
KoN Norway,KoN,KoN,7,16,mirage
CS-GO.rs,iNation,iNation,6,16,dust2
KoN Norway,KoN,KoN Norway,16,3,cache
KoN Norway,KoN,KoN Norway,16,11,inferno
XPC,SuperMassive,SuperMassive,12,16,cobblestone
OpTic,Liquid,Liquid,12,16,train
Liquid,OpTic,Liquid,16,10,cobblestone
Cloud9,Liquid,Liquid,5,16,cache
Liquid,Cloud9,Liquid,16,8,dust2
EnVyUs,dignitas,dignitas,7,16,inferno
dignitas,EnVyUs,dignitas,16,14,mirage
SK,Virtus.pro,SK,16,12,train
Pixel,aimclub,aimclub,10,16,mirage
Virtus.pro,SK,SK,11,16,cache
FlipSid3,NiP,NiP,8,16,cobblestone
Bpro,Deathtrap,Bpro,16,8,train
NiP,FlipSid3,NiP,16,4,overpass
KKona,compLexity,KKona,16,8,overpass
compLexity,KKona,compLexity,22,18,mirage
Renegades,NRG,NRG,13,16,cache
NRG,Renegades,NRG,16,2,train
GameAgents,RB,GameAgents,16,8,cache
aimclub,SuperMassive,SuperMassive,9,16,cache
aimclub,Deathtrap,aimclub,16,12,cache
Pixel,SuperMassive,SuperMassive,17,19,mirage
XPC,iNation,XPC,16,11,cache
neXtPlease!,CS-GO.rs,neXtPlease!,16,14,inferno
Americas All-Stars,Europe,Americas All-Stars,22,19,nuke
KoN Finland,KoN,KoN Finland,16,11,dust2
Bpro,TogetherAsOne,Bpro,16,9,cache
KoN Norway,KoN,KoN,9,16,cache
KoN Norway,KoN,KoN Norway,16,13,cache
XPC,neXtPlease!,XPC,16,8,train
Pixel,iNation,Pixel,16,11,mirage
GameAgents,CS-GO.rs,GameAgents,16,12,inferno
Virtus.pro,Natus,Natus,4,16,cobblestone
Astralis,CLG,Astralis,16,9,overpass
fnatic,Liquid,Liquid,19,22,dust2
Luminosity,NiP,Luminosity,16,5,mirage
G2,Cloud9,G2,16,3,dust2
Gambit,EnVyUs,Gambit,16,13,cache
GameAgents,XPC,GameAgents,16,9,cache
Splyce,FaZe,FaZe,3,16,inferno
TogetherAsOne,Deathtrap,Deathtrap,8,16,cache
mousesports,FlipSid3,mousesports,31,28,cobblestone
G2,Virtus.pro,Virtus.pro,1,16,train
Cloud9,Natus,Natus,9,16,train
Gambit,Astralis,Astralis,10,16,train
CLG,EnVyUs,CLG,16,8,cobblestone
Splyce,fnatic,fnatic,5,16,train
Liquid,FaZe,Liquid,16,11,cache
mousesports,Luminosity,Luminosity,13,16,mirage
FlipSid3,NiP,NiP,17,19,cache
Signature,Absolute,Signature,16,2,train
Exodus,Savor,Exodus,16,6,inferno
Orange,Signature,Signature,2,16,dust2
Absolute Monster,Devious,Absolute Monster,16,11,cache
Savage Wolves,Exodus,Exodus,5,16,cache
Savor the Fear,CORE,Savor the Fear,16,14,cobblestone
Platinium,LDLC,LDLC,8,16,cobblestone
TogetherAsOne,RB,TogetherAsOne,16,11,cache
Dead Pixels,LDLC,LDLC,5,16,cobblestone
Preparation,eXplosive,eXplosive,14,16,mirage
Iwku,Ancient,Ancient,5,16,cobblestone
aimclub,iNation,aimclub,16,7,cache
Epsilon,CSGL,CSGL,11,16,cache
CPH Wolves,Enso,CPH Wolves,16,6,cobblestone
Imanity,Hanoi,Hanoi,7,16,mirage
SuperMassive,Deathtrap,Deathtrap,3,16,cache
MOTV,TitaNs,TitaNs,8,16,mirage
Imanity,Emc,Imanity,16,14,mirage
xqR,Hanoi,Hanoi,17,19,mirage
MOTV,dream[S]cape,MOTV,16,11,dust2
1st eSports,TitaNs,TitaNs,5,16,inferno
MineSki,Mercenaries,MineSki,16,11,mirage
Signature,Threats,Threats,14,16,overpass
MineSki,HanoiAnimals,MineSki,16,8,mirage
Mercenaries,HKTP,Mercenaries,16,2,mirage
LiberateD,Signature,Signature,6,16,mirage
Zenith,Threats,Threats,3,16,inferno
KoN Sweden,KoN,KoN Sweden,16,12,inferno
KoN Norway,KoN,KoN,11,16,cache
Bpro,CS-GO.rs,Bpro,16,6,cache
KoN Norway,KoN,KoN Norway,16,9,mirage
Torpedo,Binary,Torpedo,16,10,mirage
k1ck,Empire,Empire,7,16,cobblestone
Arcade,PENTA,Arcade,16,13,mirage
Fluffy Gangsters,AGG,Fluffy Gangsters,16,13,inferno
Plantronics,Publiclir.se,Publiclir.se,15,19,cache
Preparation,ALTERNATE,Preparation,16,11,cache
E-frag.net,Epsilon,E-frag.net,16,14,overpass
Space Soldiers,Iwku,Space Soldiers,16,7,train
Preparation,dignitas,dignitas,14,16,mirage
ENCE,Plantronics,Plantronics,7,16,dust2
CPH Wolves,E-frag.net,CPH Wolves,16,9,dust2
RCTIC,Space,Space,6,16,mirage
Publiclir.se,SK,SK,8,16,mirage
Alpha,Epsilon,Epsilon,6,16,cobblestone
ALTERNATE aTTaX,Fragsters,ALTERNATE aTTaX,16,4,inferno
Iwku,HellRaisers,HellRaisers,11,16,cache
Publiclir.se,ENCE,Publiclir.se,16,13,mirage
Preparation,ALTERNATE,Preparation,16,8,cobblestone
Fragsters,dignitas,dignitas,7,16,overpass
Epsilon,E-frag.net,E-frag.net,8,16,cache
Alpha,CPH,CPH,10,16,overpass
Plantronics,SK,SK,7,16,mirage
Iwku,RCTIC,Iwku,16,7,inferno
Space Soldiers,HellRaisers,HellRaisers,6,16,cache
One,Booty,Booty,5,16,overpass
Lucendi Azolt,Insolent,Insolent,7,16,overpass
One,Devour,One,16,14,train
Booty Clappers,DSS,Booty Clappers,16,11,train
Lucendi Azolt,8,Lucendi Azolt,21,19,train
RivaL,Insolent,Insolent,12,16,train
Bpro,XPC,Bpro,16,12,mirage
aimclub,neXtPlease!,aimclub,16,11,mirage
Eastern Vikings,Isak,Isak,14,16,inferno
404OrgNotFound,seven,404OrgNotFound,16,11,inferno
OBEY,eNergy,OBEY,16,7,inferno
malefiQ,BX3,BX3,6,16,inferno
Aquiver.BLU,hiddenOP,Aquiver.BLU,16,11,inferno
FAB,Wicked,FAB,16,6,inferno
Quantaya,Recursive,Recursive,12,16,inferno
!nsurgents,Skal,Skal,11,16,inferno
Heroic,aNimus,Heroic,16,11,inferno
Flash,Dem,Flash,16,6,inferno
SvQmmerICruzares,GamersLeague,GamersLeague,6,16,inferno
Fox Stratos,naptoR.Factory,naptoR.Factory,2,16,inferno
Aquiver.RED,Tekweb,Aquiver.RED,16,1,inferno
n0_0rg,Bar,n0_0rg,16,1,inferno
Inside,eXtatus,eXtatus,1,16,inferno
Publiclir.se,FAB,Publiclir.se,19,15,cobblestone
WarMonkeys,Eastern,Eastern,12,16,cobblestone
Preparation,Fox,Preparation,16,13,cobblestone
Telos,Inside,Inside,14,16,cobblestone
malefiQ,WinOut,WinOut,9,16,cobblestone
SvQmmerICruzares,AfterClap,SvQmmerICruzares,16,13,cobblestone
Aquiver.BLU,Playing,Playing,12,16,cobblestone
OBEY,Krydsild,Krydsild,10,16,cobblestone
Plantronics,Aquiver.RED,Plantronics,16,10,cobblestone
404OrgNotFound,Alpha,Alpha,4,16,cobblestone
hiddenOP,Vacuous,hiddenOP,16,10,cobblestone
Iwku,GamersLeague,Iwku,16,3,cobblestone
BX3,the,BX3,16,4,cobblestone
Heroic,Tricked,Tricked,4,16,cobblestone
Epsilon,Flash,Epsilon,16,8,cobblestone
Wicked,Ollebolle,Wicked,16,5,cobblestone
Epiphany Bolt,n0_0rg,Epiphany Bolt,16,9,cobblestone
Isak,Fragsters,Fragsters,3,16,cobblestone
eNergy,WDHA,eNergy,16,7,cobblestone
temporary,Bar,Bar,4,16,cobblestone
eXtatus,Space,Space,3,16,cobblestone
walkover,Dem,Dem,3,16,cobblestone
SesiBaren,naptoR.Factory,naptoR.Factory,4,16,cobblestone
Quantaya,fLYVERNE,Quantaya,16,2,cobblestone
Bananaboys,Recursive,Bananaboys,16,2,cobblestone
FOXTROT,seven,seven,1,16,cobblestone
aNimus,Tog,aNimus,16,3,cobblestone
Orbit,!nsurgents,Orbit,16,5,cobblestone
Skal du begraves?,@SNULLE,Skal du begraves?,16,1,cobblestone
Tekweb,Influx,Tekweb,16,2,cobblestone
WarMonkeys,Isak,Isak,17,19,dust2
FOXTROT,404OrgNotFound,404OrgNotFound,14,16,dust2
OBEY,eNergy,OBEY,16,14,dust2
Bananaboys,Quantaya,Bananaboys,19,16,dust2
Fragsters,Eastern,Fragsters,16,13,dust2
WDHA,Krydsild,Krydsild,11,16,dust2
hiddenOP,Aquiver.BLU,Aquiver.BLU,16,19,dust2
malefiQ,BX3,malefiQ,16,9,dust2
SesiBaren,Preparation,Preparation,2,16,dust2
Fox Stratos,naptoR.Factory,Fox Stratos,16,5,dust2
seven,Alpha,Alpha,6,16,dust2
walkover,Epsilon,Epsilon,8,16,dust2
temporary,Epiphany,Epiphany,9,16,dust2
the pickles,WinOut,WinOut,2,16,dust2
n0_0rg,Bar,n0_0rg,16,8,dust2
Tekweb,Plantronics,Plantronics,5,16,dust2
Heroic,aNimus,Heroic,16,5,dust2
Tog,Tricked,Tricked,1,16,dust2
Flash,Dem,Flash,16,5,dust2
Skal du begraves?,Orbit,Orbit,11,16,dust2
Wicked,Publiclir.se,Publiclir.se,5,16,dust2
SvQmmerICruzares,Iwku,Iwku,2,16,dust2
Influx Nordic,Aquiver.RED,Aquiver.RED,0,16,dust2
Recursive,fLYVERNE,Recursive,16,0,dust2
Inside,eXtatus,eXtatus,3,16,dust2
Telos,Space,Space,1,16,dust2
GamersLeague,AfterClap,GamersLeague,16,1,dust2
Ollebolle,FAB,FAB,0,16,dust2
Vacuous Baboons,Playing,Playing,4,16,dust2
!nsurgents,@SNULLE,!nsurgents,16,2,dust2
Young Money Militia,Kitfoxes,Young Money Militia,21,16,overpass
Third pupil,Insomnia,Third pupil,16,8,overpass
Young Money Militia,Grimalkin,Young Money Militia,16,9,train
Cloud9,Winterfox,Cloud9,16,3,train
Wet Bandits,Kitfoxes,Kitfoxes,4,16,train
Winterfox,Cloud9,Cloud9,7,16,dust2
Third pupil,SYG,Third pupil,16,7,train
KKona,Luminosity,Luminosity,5,16,mirage
Luminosity,KKona,Luminosity,16,13,overpass
Insomnia,PSISTORM,Insomnia,16,12,train
Astralis,NiP,NiP,4,16,cache
NiP,Astralis,NiP,16,8,mirage
FlipSid3,fnatic,fnatic,14,16,inferno
YP,E-frag.net,YP,16,10,inferno
fnatic,FlipSid3,fnatic,16,13,overpass
CPH Wolves,LDLC,LDLC,10,16,inferno
Escape,Method,Escape,16,12,mirage
CSGL,Fluffy,CSGL,16,14,train
One,Mist,Mist,13,16,train
NRG,Winterfox,NRG,16,12,inferno
Renegades,Splyce,Renegades,16,6,inferno
h00liGaNz,Braindead,Braindead,12,16,train
Winterfox,NRG,NRG,10,16,train
Splyce,Renegades,Renegades,4,16,train
TNT,Broken,Broken,4,16,train
OpTic,Selfless,Selfless,14,16,mirage
Rhythm,Insolent,Rhythm,21,15,train
Selfless,OpTic,Selfless,16,10,inferno
mousesports,dignitas,dignitas,10,16,inferno
dignitas,mousesports,dignitas,19,16,cobblestone
RB,Deathtrap,Deathtrap,9,16,dust2
SK,FlipSid3,SK,16,13,train
SuperMassive,iNation,iNation,7,16,mirage
FlipSid3,SK,FlipSid3,16,10,mirage
TogetherAsOne,CS-GO.rs,CS-GO.rs,13,16,cobblestone
compLexity,Winterfox,Winterfox,14,16,overpass
Winterfox,compLexity,Winterfox,16,12,dust2
Cloud9,NRG,Cloud9,16,5,cobblestone
NRG,Cloud9,Cloud9,12,16,train
Empire,AGG,Empire,16,14,inferno
eXplosive,Ancient,Ancient,8,16,mirage
Arcade,HellRaisers,HellRaisers,13,16,overpass
ALTERNATE aTTaX,Enso,ALTERNATE aTTaX,16,13,cobblestone
Luminosity,Splyce,Luminosity,16,8,inferno
Splyce,Luminosity,Luminosity,11,16,train
CLG,Liquid,Liquid,19,22,mirage
Liquid,CLG,Liquid,16,5,cobblestone
Winterfox,Selfless,Selfless,5,16,mirage
Selfless,Winterfox,Winterfox,10,16,train
Astralis,dignitas,Astralis,16,5,mirage
dignitas,Astralis,Astralis,11,16,inferno
EnVyUs,Natus,Natus,7,16,cobblestone
Natus Vincere,EnVyUs,Natus Vincere,16,11,train
mousesports,FlipSid3,FlipSid3,13,16,cobblestone
FlipSid3,mousesports,FlipSid3,16,12,overpass
Selfless,Splyce,Selfless,16,11,cache
Splyce,Selfless,Selfless,5,16,inferno
CLG,Luminosity,Luminosity,12,16,overpass
Luminosity,CLG,Luminosity,16,9,cobblestone
Winterfox,Liquid,Winterfox,16,11,overpass
SK,NiP,NiP,16,19,mirage
Liquid,Winterfox,Liquid,16,8,cache
NiP,SK,NiP,16,8,cache
fnatic,dignitas,fnatic,16,5,overpass
dignitas,fnatic,fnatic,6,16,train
mousesports,FaZe,mousesports,16,13,dust2
FTW.Evo Prinfor,Império,Império,12,16,dust2
Refuse,Epsilon,Epsilon,19,21,overpass
FaZe,mousesports,mousesports,14,16,cache
Arcade,ENCE,ENCE,8,16,cache
Tricked,WE,WE,13,16,mirage
LDLC Blue,HellRaisers,HellRaisers,7,16,inferno
Orbit,PENTA,PENTA,8,16,dust2
FTW.Evo Prinfor,EasyMind,FTW.Evo Prinfor,16,3,cache
Fluffy Gangsters,Tempest,Fluffy Gangsters,16,5,mirage
nGw,Space,Space,3,16,mirage
Galatics,EasyMind,EasyMind,12,16,inferno
EasyMind,Império,Império,12,16,dust2
Império Multimédia,Galatics,Império Multimédia,16,5,inferno
AlienTech,3R2L,AlienTech,16,8,inferno
KoN Finland,KoN,KoN Finland,16,4,dust2
3R2L,RedLine,3R2L,19,16,mirage
KoN Norway,KoN,KoN,12,16,mirage
3R2L,FTW.PRO,FTW.PRO,11,16,mirage
KoN Norway,KoN,KoN Norway,16,2,dust2
FTW.PRO,AlienTech,AlienTech,19,22,inferno
RedLine,AlienTech,AlienTech,3,16,cobblestone
Cloud9,Luminosity,Luminosity,7,16,cobblestone
Luminosity,Cloud9,Cloud9,13,16,overpass
Renegades,Liquid,Liquid,7,16,dust2
Liquid,Renegades,Renegades,11,16,mirage
SK,mousesports,SK,16,11,cobblestone
mousesports,SK,mousesports,16,8,mirage
G2,FaZe,G2,16,10,cache
FaZe,G2,G2,13,16,dust2
compLexity,CLG,CLG,10,16,train
CLG,compLexity,CLG,19,17,dust2
Cloud9,Renegades,Cloud9,16,8,dust2
Renegades,Cloud9,Cloud9,16,19,train
fnatic,NiP,fnatic,16,10,inferno
CSGL,Empire,Empire,8,16,train
NiP,fnatic,NiP,16,6,cache
G2,dignitas,dignitas,10,16,overpass
dignitas,G2,G2,6,16,inferno
compLexity,Splyce,compLexity,16,14,train
Splyce,compLexity,Splyce,16,7,overpass
OpTic,Winterfox,Winterfox,6,16,mirage
Winterfox,OpTic,OpTic,5,16,inferno
Space Soldiers,HellRaisers,Space Soldiers,16,7,cobblestone
SK,G2,G2,13,16,cache
VwS,Space,Space,10,16,train
G2,SK,G2,16,5,train
PENTA,HellRaisers,PENTA,16,5,mirage
VwS,PENTA,PENTA,22,25,cache
Natus Vincere,dignitas,Natus Vincere,16,3,overpass
dignitas,Natus,Natus,14,16,mirage
Space Soldiers,HellRaisers,HellRaisers,11,16,inferno
XPC,noKappa,noKappa,9,16,cobblestone
XPC,CSGL,XPC,16,11,mirage
Empire,noKappa,noKappa,9,16,cobblestone
Cloud9,Selfless,Selfless,4,16,cache
Selfless,Cloud9,Cloud9,10,16,train
KKona,Renegades,Renegades,12,16,cobblestone
CNB,LDDM,CNB,16,14,train
Renegades,KKona,Renegades,16,6,inferno
compLexity,OpTic,OpTic,4,16,cache
fnatic,mousesports,mousesports,17,19,dust2
CNB,Gathers,CNB,16,14,cobblestone
OpTic,compLexity,OpTic,16,10,overpass
mousesports,fnatic,fnatic,4,16,cache
TSG,LDDM,LDDM,5,16,cobblestone
G2,FlipSid3,G2,16,7,overpass
Crashers,BigGods,BigGods,2,16,cobblestone
FlipSid3,G2,G2,12,16,train
Perrinho Sin Colinha,Innova,Innova,3,16,cobblestone
SK,Astralis,Astralis,5,16,mirage
Astralis,SK,Astralis,16,7,train
Renegades,OpTic,Renegades,16,9,cobblestone
OpTic,Renegades,OpTic,16,7,inferno
INTZ,DEMONIO,INTZ,31,25,train
Cloud9,compLexity,Cloud9,16,2,cache
compLexity,Cloud9,Cloud9,15,19,overpass
rEAK,dreamWorks,dreamWorks,14,16,train
KKona,NRG,NRG,14,16,dust2
NRG,KKona,NRG,16,10,cobblestone
ProGaming,INTZ,INTZ,10,16,cobblestone
SK,FaZe,FaZe,3,16,mirage
DEMONIO,Apoka,DEMONIO,21,17,cobblestone
FaZe,SK,SK,23,25,cache
BlackSheep,rEAK,rEAK,12,16,cobblestone
Virtus.pro,G2,G2,6,16,overpass
G2,Virtus.pro,Virtus.pro,14,16,train
dreamWorks,TShow,dreamWorks,16,3,cobblestone
EnVyUs,Astralis,EnVyUs,16,7,inferno
Astralis,EnVyUs,Astralis,16,10,train
TDJSF,ENCE,TDJSF,16,10,dust2
demons,PENTA,PENTA,11,16,cache
HellRaisers,Preparation,Preparation,8,16,inferno
Orbit,Ancient,Ancient,11,16,mirage
eSuba,BFFsIRL,eSuba,16,9,cache
Platinium,CPH,CPH,13,16,inferno
AliGon,Gambit,Gambit,10,16,cache
c5,LDLC,c5,16,7,inferno
TitaNs,xqR,xqR,12,16,inferno
Emc,EDG,EDG,16,19,mirage
MineSki,dream[S]cape,dream[S]cape,10,16,inferno
7GU6,Threats,Threats,8,16,inferno
Long Live Democracy,Risky,Risky,14,16,inferno
Mahameru,Savage,Savage,11,16,mirage
T5,MVP,MVP,10,16,mirage
Signature,MiTH,Signature,16,12,overpass
eSuba,LeiSuRe,eSuba,16,4,mirage
DEEZ NUTS,Recursive,Recursive,12,16,mirage
KoN Finland,KoN,KoN,11,16,dust2
KoN Denmark,KoN,KoN,12,16,cache
RCTIC,eSuba,eSuba,8,16,cache
Fluffy Gangsters,LeiSuRe,LeiSuRe,14,16,dust2
KoN Norway,KoN,KoN,5,16,cache
eXplosive,DEEZ,DEEZ,10,16,cache
CSGO2x,Recursive,Recursive,4,16,cache
compLexity,NRG,NRG,13,16,dust2
NRG,compLexity,NRG,16,13,cache
NRG,Luminosity,Luminosity,9,16,mirage
Luminosity,NRG,Luminosity,16,3,inferno
Natus Vincere,FaZe,Natus Vincere,16,12,mirage
E-frag.net,SK,E-frag.net,19,17,overpass
PENTA,AR8,PENTA,16,7,mirage
FaZe,Natus,Natus,17,19,dust2
Method,E-frag.net,E-frag.net,11,16,dust2
noKappa,PENTA,PENTA,9,16,mirage
SK,Ancient,Ancient,14,16,overpass
EnVyUs,FlipSid3,EnVyUs,16,7,cobblestone
BLUEJAYS,AR8,AR8,2,16,inferno
FlipSid3,EnVyUs,EnVyUs,9,16,mirage
CL4NLESS,Refuse,Refuse,11,16,train
Method,SK,SK,3,16,mirage
Ancient,E-frag.net,Ancient,16,8,inferno
Winterfox,Luminosity,Winterfox,16,3,train
8 Minded,AGG,AGG,3,16,mirage
Luminosity,Winterfox,Luminosity,16,11,overpass
Cloud9,OpTic,OpTic,7,16,cobblestone
OpTic,Cloud9,OpTic,16,13,cache
ALTERNATE aTTaX,Team123,ALTERNATE aTTaX,16,5,cache
G2,EnVyUs,G2,16,12,train
Revival,miMo,miMo,12,16,overpass
ALTERNATE aTTaX,DenDD,ALTERNATE aTTaX,16,12,cache
EnVyUs,G2,G2,11,16,cache
AlienTech,Bpro,Bpro,6,16,overpass
Revival,ggrabb,Revival,21,18,train
Virtus.pro,NiP,NiP,11,16,overpass
Team123,dignitas,dignitas,11,16,overpass
